
Spring 2017,BIOL 160 C,Diversity of Life: Animals:: Plants:: and Microbes,Caroline Maier,MWF 09:10 AM-10:15 AM HSCS4,Treehouse Course Information,natural_sciences,

Spring 2017,BIOL 160 E,Diversity of Life: Animals:: Plants:: and Microbes,Caroline Maier,MWF 10:25 AM-11:40 AM HSCS4,Treehouse Course Information,natural_sciences,

Spring 2017,BIOL 215 D,Environmental Science,Sara Webb,TR 09:00 AM-10:15 AM HSCS139,Treehouse Course Information,natural_sciences,

Spring 2017,BIOL 215 H,Environmental Science,Sara Webb,TR 11:50 AM-01:05 PM HSCS139,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 150 C,Principles of Chemistry I,Kimberly Choquette,MWF 09:10 AM-10:15 AM HSCS308,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 160 C,Principles of Chemistry II,Juliette Lantz,MWF 09:10 AM-10:15 AM BC201,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 160 E,Principles of Chemistry II,Juliette Lantz,MWF 10:25 AM-11:40 AM BC201,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 161 C,Principles of Chemistry II:: Advanced Section,Adam Cassano,MWF 09:10 AM-10:15 AM HSCS244,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 321 F,Advanced Analytical Chemistry,Molly Crowther,TR 10:25 AM-11:40 AM HSCS142,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 330 C,Physical Chemistry I,Ryan Hinrichs,MWF 09:00 AM-10:15 AM BC103,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 350 E,Organic Chemistry II,Kimberly Choquette,MWF 10:25 AM-11:40 AM BC218,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 350 G,Organic Chemistry II,Sandra Keyser,MWF 11:50 AM-12:55 PM BC218,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 351 QS,Advanced Organic Chemistry,Jerauld Skotnicki,TR 06:30 PM-08:00 PM HSCS142,Treehouse Course Information,natural_sciences,

Spring 2017,CHEM 361 G,Advanced Biomolecular Structure and Function,Adam Cassano,MWF 11:50 AM-12:55 PM HSCS308,Treehouse Course Information,natural_sciences,

Spring 2017,ESS 215 D,Environmental Science,Sara Webb,TR 09:00 AM-10:15 AM HSCS139,Treehouse Course Information,natural_sciences,

Spring 2017,ESS 215 H,Environmental Science,Sara Webb,TR 11:50 AM-01:05 PM HSCS139,Treehouse Course Information,natural_sciences,

Spring 2017,ESS 265 G,Energy and Environment,Bjorg Larson,MWF 11:50 AM-12:55 PM BC103,Treehouse Course Information,natural_sciences,

Spring 2017,HON 202 F,Honors Seminar: Natural Sciences,Alan RosanJon Kettenring,TR 10:25 AM-11:40 AM HSCS326,Treehouse Course Information,natural_sciences,

Spring 2017,NEUR 270 T,Topics in Neuroscience,Minjoon Kouh,M 02:40 PM-03:55 PM HSCS305,Treehouse Course Information,natural_sciences,

Spring 2017,PHYS 112 E,Introductory Physics II,Minjoon Kouh,MWF 10:25 AM-11:30 AM HSCS308,Treehouse Course Information,natural_sciences,

Spring 2017,PHYS 160 E,University Physics II,Robert Murawski,MWF 10:25 AM-11:30 AM HSCS244,Treehouse Course Information,natural_sciences,

Spring 2017,PHYS 265 G,Energy and Environment,Bjorg Larson,MWF 11:50 AM-12:55 PM BC103,Treehouse Course Information,natural_sciences,

Spring 2017,ANTH 320 H,Selected Topics in Biological Anthropology: Evolutionary Medicine,Linda Van Blerkom,TR 11:50 AM-01:05 PM BC18,Treehouse Course Information,writeintense,

Spring 2017,BIOL 314 F,Animal Behavior,Tammy Windfelder,TR 10:25 AM-11:40 AM BC217,Treehouse Course Information,writeintense,

Spring 2017,BIOL 368 F,Molecular Genetics,Stephen Dunaway,TR 10:25 AM-11:40 AM HSCS105,Treehouse Course Information,writeintense,

Spring 2017,BST 305 J,Market Strategy & Marketing,Maha Mourad,MW 01:15 PM-02:30 PM BC203,Treehouse Course Information,writeintense,

Spring 2017,CE 250 L,Leadership in Practice,Amy Koritz,MW 04:30 PM-05:45 PM BC203,Treehouse Course Information,writeintense,

Spring 2017,CHIN 310 E,Advanced Chinese Reading,Di Bai,MWF 10:25 AM-11:30 AM MLH114,Treehouse Course Information,writeintense,

Spring 2017,CLAS 260 G,Classical Civilization: Selected Topics - The Rome of Augustus,John Muccigrosso,W 11:50 AM-01:05 PM HSCS3A,Treehouse Course Information,writeintense,

Spring 2017,CLAS 275 T,Law and Trials in Ancient Society,John Lenz,MW 02:40 PM-03:55 PM BC216,Treehouse Course Information,writeintense,

Spring 2017,ECON 350 J,Selected Topics in Economics: Political Economy of Migration,Maliha Safri,MW 01:15 PM-02:30 PM BC201,Treehouse Course Information,writeintense,

Spring 2017,ECON 350 T,Selected Topics in Economics: Development Economics,Yahya Madra,MW 02:40 PM-03:55 PM HSCS139,Treehouse Course Information,writeintense,

Spring 2017,ENGL 214 Z,Theory and Practice of Writing Center Tutoring,Sandra Jamieson,TR 02:40 PM-03:55 PM BC20,Treehouse Course Information,writeintense,

Spring 2017,ENGL 215 P,Writing for and about Business,TBA,M 07:00 PM-09:30 PM BC204,Treehouse Course Information,writeintense,

Spring 2017,ENGL 219 H,Blogs:: Tweets:: and Social Media: Communication in the Digital Age,Sandra Jamieson,TR 11:50 AM-01:05 PM BC102,Treehouse Course Information,writeintense,

Spring 2017,ENGL 312 L,Nonfiction Writing,Courtney Zoffness,M 04:00 PM-06:30 PM BC102,Treehouse Course Information,writeintense,

Spring 2017,ENGL 313 L,Fiction,Camron Terwilliger,W 04:00 PM-06:30 PM BC204,Treehouse Course Information,writeintense,

Spring 2017,ENGL 314 KZ,Poetry Workshop,Patrick Phillips,T 01:15 PM-03:45 PM SIT101,Treehouse Course Information,writeintense,

Spring 2017,ENGL 314 KZR,Creative Writing Workshop: Poetry,Patrick Phillips,R 01:15 PM-03:45 PM SIT101,Treehouse Course Information,writeintense,

Spring 2017,ENGL 315 JT,Creative Writing Workshop: Advanced Fiction,Courtney Zoffness,W 01:15 PM-03:45 PM SIT101,Treehouse Course Information,writeintense,

Spring 2017,ENGL 318 Q,Advanced Journalism,Elizabeth Moore,T 07:00 PM-09:30 PM BC202,Treehouse Course Information,writeintense,

Spring 2017,ENGL 324 M,Filming American Feminisms,Wendy Kolmar,R 04:00 PM-07:00 PM BC120,Treehouse Course Information,writeintense,

Spring 2017,ENGL 357 G,Literature of the 20th Century: The American Short Story Cycle,Courtney Zoffness,MW 11:50 AM-01:05 PM BC18,Treehouse Course Information,writeintense,

